2019-11-04 12:42:35.415 [main] ERROR  - 148 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:42:35.415 [main] ERROR  - 149 : 40 - cvc-datatype-valid.1.2.1: 'asdzxc' is not a valid value for 'boolean'.
2019-11-04 12:42:35.415 [main] ERROR  - 149 : 40 - cvc-type.3.1.3: The value 'asdzxc' of element 'lighting' is not valid.
2019-11-04 12:42:35.415 [main] ERROR  - 150 : 41 - cvc-datatype-valid.1.2.1: '32423er' is not a valid value for 'float'.
2019-11-04 12:42:35.415 [main] ERROR  - 150 : 41 - cvc-type.3.1.3: The value '32423er' of element 'watering' is not valid.
2019-11-04 12:42:35.415 [main] ERROR  - 160 : 11 - cvc-complex-type.2.4.j: The content of element 'flowers' is not complete. '"http://www.ysenko.by/flowers":flower' is expected to occur a minimum of '16' times. '7' more instances are required to satisfy this constraint.
2019-11-04 12:43:29.803 [main] ERROR  - 5 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.834 [main] ERROR  - 8 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 10 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 22 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:43:29.834 [main] ERROR  - 26 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 28 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:43:29.834 [main] ERROR  - 40 : 12 - cvc-complex-type.4: Attribute 'id' must appear on element 'liana'.
